ProductKey,UnitSales,SaleYear,SaleMonth
C,10,2021,1
C,8,2021,1
C,1,2021,1
E,3,2021,1
D,23,2021,1
C,6,2021,1
D,20,2021,1
E,10,2021,1
E,9,2021,1
E,1,2021,1
D,22,2021,1
E,4,2021,1
E,4,2021,1
B,2,2021,1
B,2,2021,1
C,9,2021,1
C,4,2021,1
A,4,2021,1
C,2,2021,1
B,1,2021,1
E,8,2021,1
E,1,2021,1
D,20,2021,1
E,3,2021,1
D,21,2021,1
A,4,2021,1
C,3,2021,1
D,18,2021,1
A,6,2021,1
C,4,2021,1
E,1,2021,1
E,9,2021,1
E,1,2021,1
E,1,2021,1
D,22,2021,1
A,3,2021,1
E,7,2021,1
D,18,2021,1
B,8,2021,1
E,6,2021,1
C,4,2021,1
E,4,2021,1
E,8,2021,1
E,6,2021,1
D,26,2021,1
C,4,2021,1
C,8,2021,1
E,4,2021,1
E,5,2021,1
B,9,2021,1
C,3,2021,1
E,3,2021,1
B,8,2021,1
E,6,2021,1
C,4,2021,1
C,3,2021,1
E,8,2021,1
D,12,2021,1
C,3,2021,1
C,6,2021,1
E,9,2021,1
E,8,2021,1
C,9,2021,1
E,8,2021,1
C,1,2021,1
B,8,2021,1
C,4,2021,1
C,8,2021,1
C,2,2021,1
C,9,2021,1
D,23,2021,1
C,4,2021,1
E,8,2021,1
A,2,2021,1
E,2,2021,1
A,10,2021,1
E,7,2021,1
E,1,2021,1
C,2,2021,1
C,9,2021,1
E,8,2021,1
E,7,2021,1
C,4,2021,1
A,10,2021,1
C,4,2021,1
E,4,2021,1
E,2,2021,1
B,9,2021,1
D,17,2021,1
A,2,2021,1
C,8,2021,1
D,16,2021,1
E,4,2021,1
C,7,2021,1
E,9,2021,1
C,9,2021,1
C,8,2021,1
E,6,2021,1
C,10,2021,1
E,4,2021,1
E,3,2021,1
C,4,2021,1
E,7,2021,1
C,6,2021,1
E,5,2021,1
D,20,2021,1
B,6,2021,1
D,23,2021,1
D,28,2021,1
A,5,2021,1
E,6,2021,1
A,1,2021,1
C,3,2021,1
D,18,2021,1
C,1,2021,1
C,8,2021,1
E,4,2021,1
E,4,2021,1
E,5,2021,1
D,23,2021,1
E,3,2021,1
C,5,2021,1
E,1,2021,1
B,5,2021,1
D,26,2021,1
E,4,2021,1
E,4,2021,1
A,1,2021,1
C,4,2021,1
C,3,2021,1
E,1,2021,1
D,14,2021,1
E,7,2021,1
C,1,2021,1
B,3,2021,1
C,2,2021,1
E,9,2021,1
E,6,2021,1
C,4,2021,1
D,22,2021,1
E,2,2021,1
E,7,2021,1
E,4,2021,1
C,5,2021,1
B,2,2021,1
D,25,2021,1
B,7,2021,1
D,16,2021,1
C,6,2021,1
E,9,2021,1
C,5,2021,1
C,8,2021,1
D,24,2021,1
C,4,2021,1
E,8,2021,1
E,8,2021,1
D,20,2021,1
C,3,2021,1
C,2,2021,1
C,8,2021,1
A,5,2021,1
D,20,2021,1
E,10,2021,1
E,9,2021,1
C,1,2021,1
C,7,2021,1
E,5,2021,1
B,7,2021,1
C,9,2021,1
D,13,2021,1
C,8,2021,1
E,6,2021,1
C,2,2021,1
C,1,2021,1
C,10,2021,1
C,8,2021,1
E,3,2021,1
E,3,2021,1
D,25,2021,1
C,6,2021,1
D,16,2021,1
C,7,2021,1
E,8,2021,1
C,9,2021,1
E,4,2021,1
E,1,2021,1
D,23,2021,1
E,3,2021,1
D,22,2021,1
E,2,2021,1
E,8,2021,1
C,4,2021,1
D,12,2021,1
C,2,2021,1
E,5,2021,1
C,9,2021,1
D,11,2021,1
E,10,2021,1
C,6,2021,1
E,5,2021,1
C,6,2021,1
C,1,2021,1
D,20,2021,1
D,24,2021,1
C,9,2021,1
E,5,2021,1
E,6,2021,1
D,20,2021,1
B,4,2021,1
C,10,2021,1
B,2,2021,1
D,19,2021,1
A,2,2021,1
C,2,2021,1
A,1,2021,1
C,7,2021,1
D,22,2021,1
D,22,2021,1
E,8,2021,1
B,7,2021,1
D,26,2021,1
D,17,2021,1
C,7,2021,1
D,13,2021,1
B,2,2021,1
E,10,2021,1
E,2,2021,1
B,4,2021,1
C,7,2021,1
E,1,2021,1
E,1,2021,1
C,6,2021,1
E,3,2021,1
D,16,2021,1
D,22,2021,1
C,1,2021,1
C,4,2021,1
C,3,2021,1
A,5,2021,1
D,23,2021,1
E,5,2021,1
B,6,2021,1
C,7,2021,1
C,6,2021,1
E,3,2021,1
C,7,2021,1
C,8,2021,1
A,4,2021,1
E,2,2021,1
D,26,2021,1
D,20,2021,1
B,7,2021,1
E,8,2021,1
B,2,2021,1
C,9,2021,1
C,1,2021,1
C,7,2021,1
B,4,2021,1
E,10,2021,1
E,8,2021,1
C,5,2021,1
A,9,2021,1
E,7,2021,1
E,2,2021,1
E,1,2021,1
E,10,2021,1
C,6,2021,1
C,1,2021,1
C,1,2021,1
B,3,2021,1
E,5,2021,1
C,2,2021,1
E,1,2021,1
E,5,2021,1
B,10,2021,1
D,17,2021,1
A,10,2021,1
C,10,2021,1
B,2,2021,1
A,4,2021,1
D,21,2021,1
C,3,2021,1
E,7,2021,1
D,22,2021,1
E,9,2021,1
A,3,2021,1
E,4,2021,1
B,9,2021,1
D,19,2021,1
B,9,2021,1
B,5,2021,1
D,15,2021,1
C,4,2021,1
E,1,2021,1
C,1,2021,1
C,8,2021,1
D,20,2021,1
B,9,2021,1
A,3,2021,1
C,6,2021,1
B,5,2021,1
D,23,2021,1
D,21,2021,1
C,2,2021,1
D,18,2021,1
D,20,2021,1
C,3,2021,1
C,7,2021,1
A,4,2021,1
D,27,2021,1
E,3,2021,1
A,6,2021,1
E,6,2021,1
C,4,2021,1
E,9,2021,1
D,17,2021,1
C,1,2021,1
E,3,2021,1
B,5,2021,1
A,3,2021,1
D,19,2021,1
C,5,2021,1
E,10,2021,1
E,5,2021,1
C,2,2021,1
E,7,2021,1
A,5,2021,1
E,1,2021,1
B,7,2021,1
C,3,2021,1
C,1,2021,1
D,21,2021,1
C,2,2021,1
C,4,2021,1
C,9,2021,1
A,2,2021,1
B,6,2021,1
B,10,2021,1
A,2,2021,1
C,5,2021,1
C,2,2021,1
C,3,2021,1
E,3,2021,1
C,6,2021,1
D,17,2021,1
A,4,2021,1
E,2,2021,1
A,9,2021,1
D,17,2021,1
D,13,2021,1
D,17,2021,1
E,8,2021,1
C,2,2021,1
E,1,2021,1
E,1,2021,1
C,10,2021,1
E,6,2021,1
E,4,2021,1
C,8,2021,1
D,12,2021,1
D,12,2021,1
B,8,2021,1
C,3,2021,1
D,27,2021,1
E,7,2021,1
C,8,2021,1
E,2,2021,1
C,6,2021,1
E,4,2021,1
C,3,2021,1
C,7,2021,1
C,7,2021,1
D,21,2021,1
A,4,2021,1
A,7,2021,1
C,9,2021,1
C,8,2021,1
D,14,2021,1
E,3,2021,1
D,16,2021,1
A,2,2021,1
E,8,2021,1
D,24,2021,1
B,5,2021,1
C,6,2021,1
C,10,2021,1
D,20,2021,1
E,9,2021,1
C,1,2021,1
C,2,2021,1
B,10,2021,1
A,2,2021,1
E,8,2021,1
D,22,2021,1
D,26,2021,1
C,2,2021,1
C,3,2021,1
E,5,2021,1
A,2,2021,1
C,8,2021,1
E,2,2021,1
D,23,2021,1
C,1,2021,1
D,20,2021,1
E,1,2021,1
A,7,2021,1
E,9,2021,1
E,3,2021,1
D,21,2021,1
A,7,2021,1
D,24,2021,1
D,21,2021,1
C,7,2021,1
D,21,2021,1
A,10,2021,1
B,3,2021,1
D,13,2021,1
E,10,2021,1
E,10,2021,1
C,6,2021,1
C,5,2021,1
E,2,2021,1
E,10,2021,1
C,6,2021,1
E,1,2021,1
E,2,2021,1
E,8,2021,1
D,25,2021,1
A,6,2021,1
D,25,2021,1
C,3,2021,1
C,1,2021,1
E,7,2021,1
B,1,2021,1
E,3,2021,1
B,7,2021,1
A,4,2021,1
E,9,2021,1
E,5,2021,1
C,10,2021,1
C,9,2021,1
C,8,2021,1
A,1,2021,1
C,6,2021,1
C,10,2021,1
D,29,2021,1
D,25,2021,1
E,9,2021,1
E,1,2021,1
A,3,2021,1
E,9,2021,1
A,2,2021,1
C,8,2021,1
D,16,2021,1
C,8,2021,1
A,10,2021,1
C,5,2021,1
A,8,2021,1
D,17,2021,1
C,10,2021,1
A,8,2021,1
A,2,2021,1
D,22,2021,1
E,3,2021,1
A,8,2021,1
C,2,2021,1
C,9,2021,1
A,2,2021,1
E,10,2021,1
B,3,2021,1
E,7,2021,1
A,3,2021,1
B,2,2021,1
C,5,2021,1
B,1,2021,1
A,6,2021,1
C,3,2021,1
A,2,2021,1
D,20,2021,1
B,7,2021,1
D,21,2021,1
C,7,2021,1
E,6,2021,1
C,2,2021,1
E,5,2021,1
D,16,2021,1
D,14,2021,1
C,3,2021,1
E,4,2021,1
C,1,2021,1
D,11,2021,1
E,6,2021,1
E,3,2021,1
E,6,2021,1
A,1,2021,1
C,7,2021,1
E,1,2021,1
C,9,2021,1
E,10,2021,1
A,4,2021,1
E,1,2021,1
E,3,2021,1
B,8,2021,1
D,18,2021,1
A,2,2021,1
B,5,2021,1
D,22,2021,1
A,3,2021,1
E,1,2021,1
E,5,2021,1
E,5,2021,1
B,1,2021,1
D,26,2021,1
B,3,2021,1
A,7,2021,1
E,9,2021,1
E,8,2021,1
C,1,2021,1
C,1,2021,1
E,9,2021,1
D,20,2021,1
D,19,2021,1
E,3,2021,1
C,8,2021,1
C,1,2021,1
E,7,2021,1
E,8,2021,1
C,7,2021,1
E,9,2021,1
E,7,2021,1
B,7,2021,1
D,18,2021,1
B,7,2021,1
C,1,2021,1
A,9,2021,1
B,10,2021,1
C,10,2021,1
C,10,2021,1
C,8,2021,1
C,2,2021,1
E,5,2021,1
B,6,2021,1
C,9,2021,1
E,8,2021,1
C,6,2021,1
A,6,2021,1
D,15,2021,1
E,10,2021,1
C,1,2021,1
C,5,2021,1
C,10,2021,1
E,8,2021,1
E,3,2021,1
C,9,2021,1
C,2,2021,1
C,10,2021,1
D,23,2021,1
C,4,2021,1
A,2,2021,1
C,6,2021,1
B,2,2021,1
E,1,2021,1
E,7,2021,1
C,8,2021,1
C,7,2021,1
A,3,2021,1
C,6,2021,1
E,3,2021,1
E,7,2021,1
A,2,2021,1
C,6,2021,1
C,2,2021,1
B,6,2021,1
C,3,2021,1
D,20,2021,1
D,22,2021,1
D,20,2021,1
E,8,2021,1
B,6,2021,1
D,18,2021,1
E,9,2021,1
A,7,2021,1
B,8,2021,1
D,18,2021,1
E,6,2021,1
E,7,2021,1
E,6,2021,1
D,28,2021,1
D,16,2021,1
E,1,2021,1
E,6,2021,1
E,1,2021,1
C,1,2021,1
E,2,2021,1
C,7,2021,1
E,7,2021,1
D,20,2021,1
B,3,2021,1
A,7,2021,1
E,9,2021,1
C,5,2021,1
D,20,2021,1
E,7,2021,1
B,8,2021,1
C,9,2021,1
D,19,2021,1
C,6,2021,1
E,9,2021,1
D,19,2021,1
C,1,2021,1
A,3,2021,1
B,4,2021,1
A,1,2021,1
A,10,2021,1
D,17,2021,1
E,8,2021,1
A,8,2021,1
D,20,2021,1
C,2,2021,1
C,2,2021,1
C,6,2021,1
C,8,2021,1
D,25,2021,1
A,9,2021,1
E,9,2021,1
A,4,2021,1
C,2,2021,1
B,8,2021,1
E,3,2021,1
D,19,2021,1
D,18,2021,1
B,2,2021,1
A,5,2021,1
E,7,2021,1
B,5,2021,1
E,9,2021,1
E,10,2021,1
E,5,2021,1
B,8,2021,1
C,1,2021,1
E,5,2021,1
E,2,2021,1
B,5,2021,1
C,4,2021,1
B,5,2021,1
C,5,2021,1
E,6,2021,1
C,1,2021,1
C,8,2021,1
B,6,2021,1
D,23,2021,1
C,6,2021,1
E,6,2021,1
D,25,2021,1
C,3,2021,1
E,3,2021,1
B,4,2021,1
D,18,2021,1
E,3,2021,1
A,9,2021,1
D,16,2021,1
C,10,2021,1
D,17,2021,1
A,6,2021,1
C,10,2021,1
C,2,2021,1
E,1,2021,1
E,1,2021,1
E,8,2021,1
C,6,2021,1
B,4,2021,1
E,4,2021,1
C,7,2021,1
C,5,2021,1
E,8,2021,1
A,4,2021,1
C,9,2021,1
C,7,2021,1
D,22,2021,1
D,19,2021,1
E,10,2021,1
D,14,2021,1
C,7,2021,1
C,6,2021,1
C,7,2021,1
D,22,2021,1
E,5,2021,1
C,3,2021,1
E,9,2021,1
E,5,2021,1
C,10,2021,1
E,6,2021,1
C,6,2021,1
C,2,2021,1
C,4,2021,1
E,4,2021,1
B,10,2021,1
C,3,2021,1
C,5,2021,1
C,9,2021,1
C,5,2021,1
B,8,2021,1
E,5,2021,1
C,1,2021,1
E,1,2021,1
C,4,2021,1
B,1,2021,1
E,2,2021,1
C,4,2021,1
E,1,2021,1
E,8,2021,1
E,5,2021,1
C,5,2021,1
B,9,2021,1
A,4,2021,1
C,4,2021,1
C,4,2021,1
C,4,2021,1
E,9,2021,1
C,9,2021,1
E,5,2021,1
D,17,2021,1
E,3,2021,1
C,10,2021,1
D,12,2021,1
A,7,2021,1
C,2,2021,1
E,7,2021,1
B,3,2021,1
C,1,2021,1
B,5,2021,1
D,17,2021,1
D,28,2021,1
E,10,2021,1
C,3,2021,1
A,5,2021,1
C,2,2021,1
B,8,2021,1
D,18,2021,1
A,4,2021,1
C,4,2021,1
A,8,2021,1
E,7,2021,1
B,10,2021,1
E,5,2021,1
C,3,2021,1
E,2,2021,1
C,6,2021,1
B,6,2021,1
E,7,2021,1
E,1,2021,1
C,10,2021,1
B,3,2021,1
D,19,2021,1
A,4,2021,1
C,10,2021,1
E,8,2021,1
B,8,2021,1
C,10,2021,1
C,2,2021,1
C,7,2021,1
A,10,2021,1
D,16,2021,1
E,8,2021,1
D,18,2021,1
C,5,2021,1
C,10,2021,1
A,8,2021,1
E,1,2021,1
C,6,2021,1
D,17,2021,1
E,7,2021,1
A,4,2021,1
E,10,2021,1
E,9,2021,1
C,2,2021,1
D,16,2021,1
D,28,2021,1
C,6,2021,1
C,2,2021,1
D,27,2021,1
C,5,2021,1
D,23,2021,1
C,4,2021,1
E,6,2021,1
E,7,2021,1
D,24,2021,1
A,5,2021,1
E,9,2021,1
E,1,2021,1
E,4,2021,1
C,6,2021,1
D,18,2021,1
A,2,2021,1
B,6,2021,1
E,10,2021,1
E,7,2021,1
B,1,2021,1
C,8,2021,1
D,25,2021,1
E,8,2021,1
B,3,2021,1
C,7,2021,1
E,10,2021,1
D,23,2021,1
C,4,2021,1
B,4,2021,1
A,8,2021,1
A,8,2021,1
C,10,2021,1
E,10,2021,1
E,9,2021,1
B,10,2021,1
E,10,2021,1
E,5,2021,1
D,18,2021,1
E,7,2021,1
C,8,2021,1
E,3,2021,1
E,1,2021,1
E,10,2021,1
E,6,2021,1
B,1,2021,1
B,9,2021,1
C,10,2021,1
E,2,2021,1
E,1,2021,1
C,5,2021,1
C,5,2021,1
A,2,2021,1
D,25,2021,1
C,1,2021,1
A,1,2021,1
C,4,2021,1
C,3,2021,1
D,21,2021,1
A,9,2021,1
E,5,2021,1
C,10,2021,1
E,5,2021,1
A,10,2021,1
C,4,2021,1
A,1,2021,1
E,5,2021,1
D,22,2021,1
A,5,2021,1
E,3,2021,1
B,1,2021,1
C,4,2021,1
D,19,2021,1
C,4,2021,1
B,1,2021,1
B,2,2021,1
E,5,2021,1
E,2,2021,1
C,2,2021,1
C,8,2021,1
C,10,2021,1
D,20,2021,1
E,9,2021,1
C,5,2021,1
E,4,2021,1
E,8,2021,1
A,8,2021,1
E,7,2021,1
C,1,2021,1
B,9,2021,1
B,8,2021,1
B,1,2021,1
C,1,2021,1
E,10,2021,1
A,6,2021,1
C,7,2021,1
D,19,2021,1
E,1,2021,1
A,7,2021,1
E,2,2021,1
D,23,2021,1
E,5,2021,1
E,9,2021,1
E,6,2021,1
C,6,2021,1
E,4,2021,1
D,20,2021,1
C,1,2021,1
E,6,2021,1
A,9,2021,1
D,16,2021,1
D,19,2021,1
C,6,2021,1
E,2,2021,1
E,3,2021,1
C,4,2021,1
D,18,2021,1
B,2,2021,1
C,2,2021,1
C,7,2021,1
B,5,2021,1
E,5,2021,1
E,5,2021,1
E,2,2021,1
D,25,2021,1
C,7,2021,1
E,5,2021,1
C,3,2021,1
B,10,2021,1
B,1,2021,1
E,3,2021,1
E,3,2021,1
E,5,2021,1
E,7,2021,1
E,4,2021,1
C,8,2021,1
B,4,2021,1
E,9,2021,1
C,3,2021,1
E,8,2021,1
C,10,2021,1
A,9,2021,1
E,9,2021,1
E,6,2021,1
C,1,2021,1
B,2,2021,1
E,1,2021,1
C,5,2021,1
C,10,2021,1
C,10,2021,1
A,7,2021,1
D,24,2021,1
E,2,2021,1
A,10,2021,1
E,9,2021,1
C,4,2021,1
C,8,2021,1
E,3,2021,1
B,7,2021,1
E,2,2021,1
A,6,2021,1
E,4,2021,1
D,23,2021,1
C,2,2021,1
C,6,2021,1
C,3,2021,1
D,15,2021,1
E,10,2021,1
D,26,2021,1
D,22,2021,1
B,1,2021,1
D,19,2021,1
D,24,2021,1
E,8,2021,1
E,9,2021,1
D,19,2021,1
C,7,2021,1
E,10,2021,1
E,4,2021,1
C,8,2021,1
D,22,2021,1
C,3,2021,1
C,5,2021,1
E,8,2021,1
C,3,2021,1
E,3,2021,1
E,1,2021,1
B,1,2021,1
C,10,2021,1
E,4,2021,1
C,10,2021,1
B,10,2021,1
C,9,2021,1
D,23,2021,1
D,14,2021,1
C,4,2021,1
B,4,2021,1
E,4,2021,1
B,4,2021,1
C,4,2021,1
D,20,2021,1
C,2,2021,1
E,5,2021,1
E,5,2021,1
C,8,2021,1
C,7,2021,1
E,10,2021,1
A,7,2021,1
E,4,2021,1
C,8,2021,1
B,10,2021,1
D,22,2021,1
B,4,2021,1
E,2,2021,1
C,5,2021,1
D,19,2021,1
D,23,2021,1
E,4,2021,1
C,10,2021,1
A,5,2021,1
C,7,2021,1
B,8,2021,1
E,3,2021,1
E,7,2021,1
C,3,2021,1
A,2,2021,1
C,8,2021,1
C,5,2021,1
D,14,2021,1
D,25,2021,1
B,9,2021,1
A,5,2021,1
E,1,2021,1
E,3,2021,1
C,10,2021,1
D,20,2021,1
C,1,2021,1
D,23,2021,1
E,4,2021,1
E,10,2021,1
E,3,2021,1
E,7,2021,1
A,2,2021,1
C,10,2021,1
B,6,2021,1
B,7,2021,1
A,6,2021,1
E,6,2021,1
D,11,2021,1
D,13,2021,1
B,9,2021,1
D,20,2021,1
A,1,2021,1
E,9,2021,1
D,27,2021,1
D,20,2021,1
C,6,2021,1
E,1,2021,1
C,2,2021,1
A,9,2021,1
B,9,2021,1
D,14,2021,1
E,1,2021,1
D,25,2021,1
D,26,2021,1
D,23,2021,1
D,19,2021,1
C,7,2021,1
C,4,2021,1
C,8,2021,1
E,5,2021,1
C,6,2021,1
D,20,2021,1
C,10,2021,1
C,9,2021,1
E,8,2021,1
E,4,2021,1
D,19,2021,1
C,5,2021,1
E,5,2021,1
E,10,2021,1
E,5,2021,1
E,9,2021,1
A,5,2021,1
C,3,2021,1
D,13,2021,1
C,4,2021,1
E,5,2021,1
C,6,2021,1
E,3,2021,1
D,23,2021,1
E,4,2021,1
E,6,2021,1
E,10,2021,1
D,21,2021,1
C,8,2021,1
E,4,2021,1
D,20,2021,1
D,19,2021,1
E,9,2021,1
E,3,2021,1
D,22,2021,1
C,6,2021,1
C,9,2021,1
A,9,2021,1
B,8,2021,1
E,8,2021,1
D,23,2021,1
E,4,2021,1
D,27,2021,1
C,7,2021,1
A,5,2021,1
E,6,2021,1
D,15,2021,1
E,10,2021,1
C,8,2021,1
D,29,2021,1
E,1,2021,1
D,15,2021,1
E,10,2021,1
C,10,2021,1
B,3,2021,1
E,4,2021,1
D,25,2021,1
E,6,2021,1
E,2,2021,1
E,1,2021,1
D,19,2021,1
E,5,2021,1
C,1,2021,1
D,23,2021,1
C,1,2021,1
C,2,2021,1
E,4,2021,1
A,5,2021,1
C,6,2021,1
D,20,2021,1
E,3,2021,1
D,21,2021,1
E,9,2021,1
C,8,2021,1
E,9,2021,1
B,3,2021,1
C,4,2021,1
A,2,2021,1
A,1,2021,1
E,5,2021,1
D,24,2021,1
C,5,2021,1
E,2,2021,1
D,13,2021,1
B,9,2021,1
C,2,2021,1
D,16,2021,1
E,3,2021,1
C,10,2021,1
C,10,2021,1
E,1,2021,1
E,5,2021,1
E,8,2021,1
C,6,2021,1
E,8,2021,1
E,5,2021,1
C,3,2021,1
E,7,2021,1
C,6,2021,1
C,9,2021,1
C,10,2021,1
C,1,2021,1
E,3,2021,1
A,7,2021,1
E,1,2021,1
C,10,2021,1
D,20,2021,1
C,6,2021,1
D,25,2021,1
E,10,2021,1
C,8,2021,1
D,16,2021,1
A,3,2021,1
D,21,2021,1
E,7,2021,1
D,20,2021,1
E,2,2021,1
E,2,2021,1
D,19,2021,1
D,21,2021,1
A,5,2021,1
C,2,2021,1
B,5,2021,1
A,1,2021,1
A,6,2021,1
D,17,2021,1
B,10,2021,1
D,29,2021,1
B,4,2021,1
E,4,2021,1
C,4,2021,1
D,23,2021,1
E,8,2021,1
B,8,2021,1
C,7,2021,1
C,10,2021,1
C,5,2021,1
D,25,2021,1
D,27,2021,1
C,7,2021,1
C,5,2021,1
C,7,2021,1
D,22,2021,1
E,8,2021,1
C,5,2021,1
D,16,2021,1
A,3,2021,1
D,24,2021,1
C,7,2021,1
E,7,2021,1
C,9,2021,1
A,9,2021,1
E,4,2021,1
B,4,2021,1
C,3,2021,1
E,4,2021,1
C,2,2021,1
E,4,2021,1
C,4,2021,1
E,1,2021,1
D,15,2021,1
C,9,2021,1
D,13,2021,1
C,9,2021,1
C,3,2021,1
E,5,2021,1
E,9,2021,1
E,7,2021,1
E,5,2021,1
E,9,2021,1
E,4,2021,1
B,5,2021,1
A,8,2021,1
B,2,2021,1
C,4,2021,1
E,10,2021,1
D,12,2021,1
C,5,2021,1
E,7,2021,1
A,7,2021,1
C,9,2021,1
C,1,2021,1
C,6,2021,1
A,6,2021,1
C,1,2021,1
D,20,2021,1
A,6,2021,1
D,24,2021,1
E,5,2021,1
A,1,2021,1
E,8,2021,1
C,1,2021,1
B,7,2021,1
D,25,2021,1
D,20,2021,1
C,2,2021,1
B,1,2021,1
C,5,2021,1
A,8,2021,1
A,10,2021,1
B,1,2021,1
E,2,2021,1
A,3,2021,1
C,4,2021,1
E,8,2021,1
C,5,2021,1
D,22,2021,1
C,9,2021,1
C,4,2021,1
E,6,2021,1
B,3,2021,1
C,3,2021,1
D,20,2021,1
E,7,2021,1
E,5,2021,1
C,3,2021,1
E,9,2021,1
C,9,2021,1
B,5,2021,1
D,22,2021,1
E,7,2021,1
D,28,2021,1
B,8,2021,1
E,1,2021,1
B,6,2021,1
C,8,2021,1
A,1,2021,1
C,9,2021,1
E,3,2021,1
C,9,2021,1
A,10,2021,1
D,28,2021,1
B,6,2021,1
E,4,2021,1
E,4,2021,1
C,5,2021,1
E,7,2021,1
C,8,2021,1
C,3,2021,1
E,9,2021,1
D,20,2021,1
B,2,2021,1
B,1,2021,1
E,7,2021,1
C,8,2021,1
D,29,2021,1
A,2,2021,1
D,24,2021,1
C,2,2021,1
D,19,2021,1
B,9,2021,1
D,25,2021,1
C,9,2021,1
A,10,2021,1
E,4,2021,1
C,3,2021,1
C,9,2021,1
E,7,2021,1
D,20,2021,1
C,4,2021,1
E,8,2021,1
A,10,2021,1
C,7,2021,1
D,19,2021,1
D,15,2021,1
C,9,2021,1
A,10,2021,1
C,7,2021,1
C,9,2021,1
D,17,2021,1
C,3,2021,1
B,3,2021,1
E,3,2021,1
E,5,2021,1
C,7,2021,1
D,21,2021,1
C,8,2021,1
D,19,2021,1
E,8,2021,1
E,5,2021,1
C,2,2021,1
E,8,2021,1
C,7,2021,1
A,10,2021,1
E,5,2021,1
C,7,2021,1
C,2,2021,1
B,8,2021,1
D,20,2021,1
E,4,2021,1
C,6,2021,1
C,6,2021,1
C,4,2021,1
D,14,2021,1
C,1,2021,1
A,7,2021,1
C,9,2021,1
E,4,2021,1
E,3,2021,1
B,2,2021,1
C,7,2021,1
A,6,2021,1
E,8,2021,1
C,8,2021,1
E,2,2021,1
B,6,2021,1
D,18,2021,1
E,4,2021,1
B,4,2021,1
B,3,2021,1
E,2,2021,1
D,22,2021,1
E,8,2021,1
E,9,2021,1
C,6,2021,1
E,2,2021,1
D,19,2021,1
D,19,2021,1
B,8,2021,1
C,7,2021,1
C,5,2021,1
E,9,2021,1
C,3,2021,1
B,4,2021,1
E,6,2021,1
D,29,2021,1
D,24,2021,1
D,13,2021,1
C,6,2021,1
A,2,2021,1
C,1,2021,1
D,26,2021,1
D,20,2021,1
D,21,2021,1
E,10,2021,1
C,3,2021,1
D,14,2021,1
D,21,2021,1
E,9,2021,1
A,1,2021,1
C,4,2021,1
D,24,2021,1
E,9,2021,1
C,9,2021,1
E,1,2021,1
D,19,2021,1
E,4,2021,1
C,5,2021,1
E,4,2021,1
D,21,2021,1
D,21,2021,1
E,3,2021,1
E,8,2021,1
A,2,2021,1
E,5,2021,1
D,26,2021,1
E,8,2021,1
D,23,2021,1
D,22,2021,1
E,2,2021,1
C,3,2021,1
E,1,2021,1
B,3,2021,1
D,23,2021,1
E,5,2021,1
C,2,2021,1
A,5,2021,1
B,7,2021,1
E,1,2021,1
E,2,2021,1
A,10,2021,1
A,3,2021,1
D,25,2021,1
A,6,2021,1
D,18,2021,1
B,2,2021,1
E,10,2021,1
E,5,2021,1
D,25,2021,1
C,6,2021,1
B,3,2021,1
B,2,2021,1
B,9,2021,1
E,10,2021,1
D,16,2021,1
E,5,2021,1
B,7,2021,1
E,6,2021,1
A,7,2021,1
B,8,2021,1
E,8,2021,1
B,5,2021,1
C,4,2021,1
D,20,2021,1
C,1,2021,1
E,8,2021,1
B,6,2021,1
C,7,2021,1
D,19,2021,1
D,16,2021,1
D,19,2021,1
E,6,2021,1
B,10,2021,1
D,21,2021,1
E,6,2021,1
C,8,2021,1
C,3,2021,1
B,5,2021,1
E,4,2021,1
C,3,2021,1
E,3,2021,1
D,21,2021,1
C,8,2021,1
C,6,2021,1
E,3,2021,1
C,2,2021,1
C,8,2021,1
C,3,2021,1
B,6,2021,1
E,2,2021,1
A,7,2021,1
E,8,2021,1
E,2,2021,1
E,9,2021,1
E,1,2021,1
C,1,2021,1
C,7,2021,1
D,27,2021,1
C,9,2021,1
B,10,2021,1
E,3,2021,1
B,7,2021,1
E,4,2021,1
D,21,2021,1
A,5,2021,1
E,7,2021,1
E,6,2021,1
B,9,2021,1
D,16,2021,1
A,7,2021,1
A,5,2021,1
E,7,2021,1
E,8,2021,1
C,9,2021,1
E,4,2021,1
C,1,2021,1
E,2,2021,1
E,6,2021,1
E,3,2021,1
C,3,2021,1
D,20,2021,1
C,1,2021,1
E,4,2021,1
C,2,2021,1
C,3,2021,1
C,1,2021,1
E,6,2021,1
C,10,2021,1
A,3,2021,1
B,8,2021,1
E,3,2021,1
D,22,2021,1
C,4,2021,1
E,2,2021,1
D,18,2021,1
C,10,2021,1
E,9,2021,1
E,5,2021,1
D,28,2021,1
C,2,2021,1
E,9,2021,1
A,2,2021,1
E,2,2021,1
B,5,2021,1
A,10,2021,1
C,8,2021,1
A,2,2021,1
C,7,2021,1
A,7,2021,1
C,6,2021,1
E,8,2021,1
C,5,2021,1
D,15,2021,1
D,18,2021,1
E,6,2021,1
C,4,2021,1
C,2,2021,1
C,10,2021,1
C,5,2021,1
D,15,2021,1
E,2,2021,1
C,5,2021,1
D,24,2021,1
C,9,2021,1
A,2,2021,1
E,1,2021,1
D,25,2021,1
A,1,2021,1
A,2,2021,1
D,14,2021,1
C,3,2021,1
E,3,2021,1
D,18,2021,1
E,5,2021,1
C,5,2021,1
C,4,2021,1
E,1,2021,1
B,10,2021,1
